Course number,Course title,Instructor
,,Teresa Delfin
,,Kiran Dhillon
,,Carlos Godoy
COMM-324mw,Intercultural Communication,Jillian Pierson
COMM-326,Latinx Media Studies,Teresa Delfin
COMM-330p,Rhetoric in Classical Culture,Daniel Durbin
COMM-339,Communication Technology and Culture,Morten Bay
COMM-345,Social and Economic Implications of Communication Technologies,Angel Hwang
COMM-350,"Video Games: Business, Science and Culture",Dmitri Williams
COMM-360,Los Angeles: Communication and Culture,Taj Frazier
COMM-367,Community Engagement and Service Learning,Alison Trope
COMM-375,Business and Professional Communication,Karen North
,,Michael Wissot
COMM-380,Forensics Laboratory,Sean Kennedy
,,Sean Kennedy
COMM-381,Issues in Contemporary Sport,Rook Campbell
COMM-382,"Sports, Business and Media in Today's Society",Jeff Fellenzer
COMM-383m,"Sports, Communication and Culture",Daniel Durbin
COMM-384,Interpreting Popular Culture,Perry Johnson
COMM-385,Organizational Communication,Marlon Twyman
COMM-387,Sports and Social Change,Julianna Kirschner
COMM-395m,"Gender, Media and Communication",Daniela Baroffio
COMM-396g,"Fashion, Media and Culture",Alison Trope
COMM-402,Public Communication Campaigns,Lindsay Young
COMM-403,"Canceled, Shamed, Accused: Contemporary Crisis Communication",Karen North
COMM-412,Communication and Social Movements,Teresa Delfin
COMM-422,Legal Issues and New Media,Carlos Godoy
COMM-430,Global Entertainment,Paolo Sigismondi
COMM-443,Communicating Better Health: What Works and Why,Nazli Offringa
COMM-445,Global Networks of Sport,Rook Campbell
COMM-449,Perspectives on the Networked Press,Mike Ananny
COMM-450,Visual Culture and Communication,Taj Frazier
COMM-456,"Entertainment, Marketing and Culture",Karen North
COMM-457,Youth and Media,Hye Jin Lee
COMM-489,Campaign Communication,Tom Hollihan
COMM-490,Directed Research,
,,
,,
